from,to,relation
pr,bmk,2
pr,rat,4
pr,military,4
fh,military,3
mf,kripo,5
mf,basis,3
mf,military,3
mf,quer,3
mf,telegram,6
mf,rat,3
me,telegram,6
me,bund,5
me,flut,7
me,ksk,5
cw,afd,3
mf,guns,
cw,guns,
gs,afd,
cw,gs,1
cw,demo,7
gs,demo,7
cw,vp,3
gs,vp,3
rhl,afd,3
rhl,facebook,6
rvp,military,4
rvp,ksk,5
rvp,bund,5
rvp,guns,
rvp,demopf,7
pg,demo,7
mvh,bund,5
mvh,ksk,5
mvh,flut,7
mvh,demopf,7
mr,mf,1
pw,ksk,5
pw,flut,7
pw,rvp,1
pw,stab,3
rr,demopf,7
rr,rat,3
bmk,afd,3
bmk,guns,
bmk,stab,3
pr,stab,3
pw,pr,2
pw,bmk,2
mf,quer,3
mf,stab,3
mf,bmk,2
mf,pr,2
mf,pw,2
mf,demo,7
mf,guns,
me,nda,4
am,ksk,5
ksk,bund,
fr ,cdu,3
fr,cw,2
aq,qanon,4
aq,telegram,6
aq,flut,7
tt,pr,1
pw,sb,2
sb,vp,3
rvp,pw,2
pw,guns,
pw,vp,3
vp,quer,
me,ksk,4
me,quer,3
me,demo,7
me,qanon,3
me,flut,7
pw,flut,7
pr,me,2